_id,choose_the_best_user_intent_for_the_post_gold,is_the_title_discriminative_gold,if_yes_does_the_intent_of_the_title_and_content_agree_with_each_other_gold,docid,title,content,forumid,
447489226,"What is the cause of symptoms, conditions, or test findings X?",Yes,Yes,551361,Would peanut allergy hives come and go for days and days?," My DS (4.5), who has eaten PB sandwiches frequently for the past year, broke out in hives on Monday. He started when we came in from outside (temp has cooled here in NJ) playing with leaves. He had a few marks on his face that seemed to itch and I thought were random bites. He had PB J for lunch but I don't remember if he had a bite after or before I noticed the hives. I didn't think much of it. He napped and then at dinnertime (no nuts then), a rash spread across his face and then all over his torso. I gave him Benadryl and they went away. The next day we were in and out but not playing outside. When he ate lunch (PB J), I noticed it again but they were on his face this time. More Benadryl. I took him to the Dr. who gave me an epipen and a referral to an allergist just in case it's related to peanuts all of the sudden. Long story short...he's had them on/off and the last time he had PB was Tues. afternoon (1/2 sandwich). They seem to go away and then come back in a different spot. The Dr. said it could be anything and related to his cold/cough last week and still had fluid in his ears. My question is - I thought I read somewhere that food allergies are usually more acute, even though hives aren't considered chronic until after 6 wks. He seems to feel fine but still a little congested. The only other allergy he has (unconfirmed) is mango because he got red splotchiness by his mouth the only 2x he had it as a toddler. I've read there's a cross reactivity between mango and birch pollen (we had 3 birch trees planted in the yard last year). I'm staying away from nuts until our appt on the 19th but dread the dx of a peanut allergy, given how serious it is. Still, does this seem likely? I would think the PB is totally out of his system by now. I mean, last night before bed, he broke out again. Also, when I go to the allergist, if it is a nut allergy, can they tell me the likelihood of how serious an allergy it is? I'm petrified it'll be deadly. I can't believe it. He always ate it without a problem. Just hoping it'a a coincidence. Thanks for your help...",10,0.215255839
447489617,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,680252,should i be worried?, Ok thanks 4 helping,65,0.876324089
447472098,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,725668,Mild mitral valve prolapse with symptoms," So I've been having some pretty major problems for the last year that have been getting worse. I was diagnosed with Fibromyalgia early in the year and so my weakness and shortness of breath were placed in the category with that illness. Well recently (last month) I've developed terrible lightheaded spells and dizziness, along with a couple fainting spells, weakness, and trouble catching my breath with less exertion than normal. I also get strange sensations in my chest I don't even know how to explain. No rapid heartbeat, although occasionally I get some really forceful beats. I'm having a hard time getting around in general and it seemed to have come on rather suddenly. Well my first EKG came back normal, so doc had me do a Halt monitor for 24 hours...that came back normal as well. So we dropped the subject for a while and were just going to wait it out. Well I collapsed at work and was unable to get back up. Things are getting worse. The doctor ordered a Carotid artery ultrasound, which came back normal and an echocardiogram. The Echocardiogram showed mild mitral valve prolapse. So I was wondering, even with mild mitral valve prolapse there can be symptoms right? A lot of my symptoms seem to line up perfectly, I have the strange coughs everyday that seem to have no origin, a hard time breathing when laying down and especially after activity (note I usually am pretty active during the day), chest pain, and of course fatigue...which I think is basically worse fatigue on top of the fibro. This does make sense right? I am hoping my doctor can provide some treatment for me starting this week, but is there much they can do for a mild prolapse even though the symptoms are severe? Or could there be something else exacerbating this even more? Any advice is greatly appreciated! -Liz",65,0.298108368
447472495,How should I manage or treat symptoms or conditions X?,No,,780070,Wellbutrin/Anger/Irritable/Lower Dose? Brand?," I have been on Wellbutrin 300 mg for about 7 months. I went up to 450 for a while but was very irritable and angry. Especially around my period. At 300 I just dont feel like it is helping anymore. I dont feel the extra energy or loss of appetite (which I LOVED) as I did in the beginning anymore. And I still feel quite irritable and angry...more than what I would think would be normal. Sometimes I just snap for little things. I wont be seeing my Dr for a while...so I am just curious about other ppls' experiences. Do you think going down a dose (to 150mg) would make an improvement after being on the higher dose for so long? Just wondering if that ever happened for anyone. This med is pretty much my last medicinal effort...unless and until they come up with something new and MUCH better than the other stuff out there. Also, do you think switching to the brand (which would be close to impossible, but there is a slight chance at insurance approval) will improve those symptoms? Thanks!!!",44,0.748347877
439158235,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,697629,Experiences with Metoprolol?," My doctor prescribed Metoprolol (Toprol-XL)---50mg a day. He diagnosed PVT's and PVC's, after I wore the monitor for 30 days. How have other people reacted to it? Did it help? Side effects? I'm kind of worried, based on the side effects printed on the label.",65,0.215165189
447489280,How should I manage or treat symptoms or conditions X?,No,,841531,"BC...second time around...prognosis, please?"," My daughter's fiancee's mom is in trouble. She had breast cancer about 10 years ago, and last year, it came back. They found that it had metastized (sp?) to the lining of her lungs, and her bone marrow. From all that I have gathered, that is not good. Today, she is having another emergency procedure to drain fluid off her lungs and now, her stomach, too. Her oncologist started her on chemo this past fall. All I know is, it was the strongest he could give her, and she went once a week. After Christmas, they changed her to a less strong med, and now she goes every other week. I think they said that her body couldn't handle any more of the strong med... I guess I'm looking for some input from other's with more experience with these sorts of situations than I have....I'm trying to gauge just how much of a miracle we need. The kids are planning a June 2012 wedding, but also realize that they may need to move it up, so she can be there. She is the one telling them that date is okay....I just want to know which way to guide them, because we all realize the most important thing is that she gets to see her son get married. I suspect she is either being a mom and doesn't want the kids to change their plans for her, or, she sees it as something to fight for... I would appreciate any comments you may have...thanks in advance.",23,0.663299683
447489345,"What is the cause of symptoms, conditions, or test findings X?",Yes,Yes,670121,What is focal asymmetry in the right breast is indeterminate mean?, What is focal asymmetry in the right breast is indeterminate mean?,23,0.004561855
447489158,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,665929,Second degree block Mobitz type 1 Wenckebach," Well that's a bit of a mouth full isn't it !! I never questioned years of occasional light headedness and dizzy spells when standing too quickly (usually after tying laces etc), I just put it down to getting older (I'm still only 43), anyhoo, about five years ago I noticed that when I was relaxed in the evenings, especially when lying on my back, that I skipped beats :dizzy:, aaagh . So I immediately made an appointment and went to the docs, who said it was nothing to worry about, happens all the time to young fit people (I excercise regularly, cycling upto 100 miles a week), so I relaxed, cut out ALL cafeine including chocolate and things returned to normal. However, there's more, early last year, symptoms returned with a vegeance, to the extent that I could gaurantee dropping beats if I laid on my back. It has now got to the point where I know when the dropped beat is going to happen, and I feel, what I can only describe as a lump in my throat followed by the thump in my ear. So back to the docs, who this time hooked me upto a 24Hour ECG, sure enough, when relaxed, dropped beats. I was diagnosed with the above mouthfull in April, again, the consultant said not to worry, it's common in young fit people, the only treatment is a pace maker :confused:, but he'd only recommend one if I started having Syncopic episodes (blacking out), or if I still have them to age 45. I haven't had a blackout yet, but my resting heart rate is between 55-60, I'd better not get any fitter ;), but I'm not too far off 45. My problem now is, that I am now feeling the skipped beats all the time, probably 1 every 10 mins, even now typing this i've noticed 2 or 3, so should I just carry on and ignore them, am I putting myself at risk, I'd rather not have a pace maker, but I don't want to exasperate the problem. It would be great to here from similar folk Thanks for reading Dick",65,0.959355065
447489661,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,699590,New to Zoloft and need you.," This is my third day on Zoloft at 25mgs a day, then next week up to 50mgs. I don't want to quite this med, for I am depressed due to many things in my life, job loss, aging mother, handicapped brother.....I need to be strong. So please answer fast. I have the shakes in my hands, and very grouchy:mad: I can't afford to be this way, but need you all who have been on Zoloft to please, I beg, help me. My family needs me. Thank you.... Hugs, Donna (Himmylover) after my Himalayan........",44,0.342852656
447489354,Can drugs or treatments X cause adverse finding Y?,Yes,Yes,729830,does lorazepam make you feel weird when you wake up, does lorazepam make you feel weird when you wake up,44,0.65846804
